"No.","Time","Source","Destination","Protocol","Length","Info","New Column"
"3335","81.003799","::1","::1","TCP","101","60560 > 62202 [PSH, ACK] Seq=171 Ack=483 Win=12699 Len=25 TSval=1349346359 TSecr=1349346359","22*1496786832297*frames*0"
"3336","81.003825","::1","::1","TCP","76","62202 > 60560 [ACK] Seq=483 Ack=196 Win=12715 Len=0 TSval=1349346359 TSecr=1349346359",""
"3337","81.004060","::1","::1","TCP","121","62202 > 60560 [PSH, ACK] Seq=483 Ack=196 Win=12715 Len=45 TSval=1349346359 TSecr=1349346359","42*1496786832297*0|||app:/app.js|60|false|0|0"
"3338","81.004075","::1","::1","TCP","76","60560 > 62202 [ACK] Seq=196 Ack=528 Win=12698 Len=0 TSval=1349346359 TSecr=1349346359",""
"4190","101.453029","::1","::1","TCP","113","60560 > 62202 [PSH, ACK] Seq=196 Ack=528 Win=12698 Len=37 TSval=1349366722 TSecr=1349346359","34*1496786832298*variables*0*frame[0]"
"4191","101.453086","::1","::1","TCP","76","62202 > 60560 [ACK] Seq=528 Ack=233 Win=12714 Len=0 TSval=1349366722 TSecr=1349366722",""
"4192","101.453663","::1","::1","TCP","347","62202 > 60560 [PSH, ACK] Seq=528 Ack=233 Win=12714 Len=271 TSval=1349366722 TSecr=1349366722","267*1496786832298*label1|object|nol|[object TiUILabel]*label2|object|nol|[object TiUILabel]*tab1|object|nol|[object TiUITab]*tab2|object|nol|[object TiUITab]*tabGroup|object|nol|[object TiUITabGroup]*win1|object|nol|[object TiUIWindow]*win2|object|nol|[ob"
"4193","101.453692","::1","::1","TCP","76","60560 > 62202 [ACK] Seq=233 Ack=799 Win=12689 Len=0 TSval=1349366722 TSecr=1349366722",""
"4669","112.789342","::1","::1","TCP","113","60560 > 62202 [PSH, ACK] Seq=233 Ack=799 Win=12689 Len=37 TSval=1349378014 TSecr=1349366722","34*1496786832299*eval*0*frame[0]*tab2"
"4670","112.789380","::1","::1","TCP","76","62202 > 60560 [ACK] Seq=799 Ack=270 Win=12713 Len=0 TSval=1349378014 TSecr=1349378014",""
"4671","112.802195","::1","::1","TCP","130","62202 > 60560 [PSH, ACK] Seq=799 Ack=270 Win=12713 Len=54 TSval=1349378026 TSecr=1349378014","51*1496786832299*result*0*object|novl|[object TiUITab]"
"4672","112.802226","::1","::1","TCP","76","60560 > 62202 [ACK] Seq=270 Ack=853 Win=12688 Len=0 TSval=1349378026 TSecr=1349378026",""
"4673","112.831635","::1","::1","TCP","113","60560 > 62202 [PSH, ACK] Seq=270 Ack=853 Win=12688 Len=37 TSval=1349378054 TSecr=1349378026","34*1496786832300*eval*0*frame[0]*tab2"
"4674","112.831676","::1","::1","TCP","76","62202 > 60560 [ACK] Seq=853 Ack=307 Win=12712 Len=0 TSval=1349378054 TSecr=1349378054",""
"4675","112.832943","::1","::1","TCP","130","62202 > 60560 [PSH, ACK] Seq=853 Ack=307 Win=12712 Len=54 TSval=1349378055 TSecr=1349378054","51*1496786832300*result*1*object|novl|[object TiUITab]"
"4676","112.832972","::1","::1","TCP","76","60560 > 62202 [ACK] Seq=307 Ack=907 Win=12686 Len=0 TSval=1349378055 TSecr=1349378055",""
"4779","115.471227","::1","::1","TCP","110","60560 > 62202 [PSH, ACK] Seq=307 Ack=907 Win=12686 Len=34 TSval=1349380685 TSecr=1349378055","31*1496786832301*details*0*eval[1]"
"4780","115.471268","::1","::1","TCP","76","62202 > 60560 [ACK] Seq=907 Ack=341 Win=12711 Len=0 TSval=1349380685 TSecr=1349380685",""
"4781","115.472367","::1","::1","TCP","572","62202 > 60560 [PSH, ACK] Seq=907 Ack=341 Win=12711 Len=496 TSval=1349380686 TSecr=1349380685","492*1496786832301*activeIconIsMask|boolean|wvl|true*activeTitleColor|null|wvl|null*badge|null|wvl|null*horizontalWrap|boolean|wvl|true*icon|string|wvl|""file:///Users/johnsba1/Library/Developer/CoreSimulator/Devices/9108B37E-8EB7-456F-B0E4-618BA4967DC7/dat"
"4782","115.472397","::1","::1","TCP","76","60560 > 62202 [ACK] Seq=341 Ack=1403 Win=12670 Len=0 TSval=1349380686 TSecr=1349380686",""
"4943","119.589472","::1","::1","TCP","120","60560 > 62202 [PSH, ACK] Seq=341 Ack=1403 Win=12670 Len=44 TSval=1349384776 TSecr=1349380686","41*1496786832302*eval*0*frame[0]*x == ""test"""
"4944","119.589522","::1","::1","TCP","76","62202 > 60560 [ACK] Seq=1403 Ack=385 Win=12709 Len=0 TSval=1349384776 TSecr=1349384776",""
"4945","119.598221","::1","::1","TCP","141","62202 > 60560 [PSH, ACK] Seq=1403 Ack=385 Win=12709 Len=65 TSval=1349384783 TSecr=1349384776","62*1496786832302*exception*ReferenceError: Can't find variable: x"
"4946","119.598254","::1","::1","TCP","76","60560 > 62202 [ACK] Seq=385 Ack=1468 Win=12668 Len=0 TSval=1349384783 TSecr=1349384783",""
